page_url,request_url,form_method,payload_type,payload,resp_length_base,status_code_base,resp_time_base,has_sql_error_base,has_script_tag_base,resp_length_probe,status_code_probe,resp_time_probe,has_sql_error_probe,has_script_tag_probe,len_diff,status_changed,resp_time_diff,has_text_diff,probe_reflected,label
http://127.0.0.1/dvwa/vulnerabilities/csp/,http://127.0.0.1/dvwa/vulnerabilities/csp/,POST,sqli,test' OR '1'='1,4183,200,0.0021274089813232,1,1,4194,200,0.0013329982757568,1,1,11,0,-0.0007944107055664,1,1,1
http://127.0.0.1/dvwa/vulnerabilities/csp/,http://127.0.0.1/dvwa/vulnerabilities/csp/,POST,sqli,' OR 1=1 -- ,4183,200,0.0021274089813232,1,1,4191,200,0.0014147758483886,1,1,8,0,-0.0007126331329345,1,1,1
http://127.0.0.1/dvwa/vulnerabilities/csp/,http://127.0.0.1/dvwa/vulnerabilities/csp/,POST,sqli,""" OR """"=""""",4183,200,0.0021274089813232,1,1,4189,200,0.0015273094177246,1,1,6,0,-0.0006000995635986,1,1,1
http://127.0.0.1/dvwa/vulnerabilities/csp/,http://127.0.0.1/dvwa/vulnerabilities/csp/,POST,xss,<script>alert(1)</script>,4183,200,0.0021274089813232,1,1,4204,200,0.0014789104461669,1,1,21,0,-0.0006484985351562,1,1,1
http://127.0.0.1/dvwa/vulnerabilities/csp/,http://127.0.0.1/dvwa/vulnerabilities/csp/,POST,xss,<img src=1 onerror=alert(1)>,4183,200,0.0021274089813232,1,1,4207,200,0.0024027824401855,1,1,24,0,0.0002753734588623,1,1,1
http://127.0.0.1/dvwa/vulnerabilities/csp/,http://127.0.0.1/dvwa/vulnerabilities/csp/,POST,lfi,../../../../etc/passwd,4183,200,0.0021274089813232,1,1,4201,200,0.001373291015625,1,1,18,0,-0.0007541179656982,1,1,1
http://127.0.0.1/dvwa/vulnerabilities/javascript/,http://127.0.0.1/dvwa/vulnerabilities/javascript/,POST,sqli,test' OR '1'='1,4254,200,0.002608299255371,1,1,4254,200,0.0014467239379882,1,1,0,0,-0.0011615753173828,0,0,0
http://127.0.0.1/dvwa/vulnerabilities/javascript/,http://127.0.0.1/dvwa/vulnerabilities/javascript/,POST,sqli,' OR 1=1 -- ,4254,200,0.002608299255371,1,1,4254,200,0.0013425350189208,1,1,0,0,-0.0012657642364501,0,0,0
http://127.0.0.1/dvwa/vulnerabilities/javascript/,http://127.0.0.1/dvwa/vulnerabilities/javascript/,POST,sqli,""" OR """"=""""",4254,200,0.002608299255371,1,1,4254,200,0.0023400783538818,1,1,0,0,-0.0002682209014892,0,0,0
http://127.0.0.1/dvwa/vulnerabilities/javascript/,http://127.0.0.1/dvwa/vulnerabilities/javascript/,POST,xss,<script>alert(1)</script>,4254,200,0.002608299255371,1,1,4254,200,0.0016579627990722,1,1,0,0,-0.0009503364562988,0,0,1
http://127.0.0.1/dvwa/vulnerabilities/javascript/,http://127.0.0.1/dvwa/vulnerabilities/javascript/,POST,xss,<img src=1 onerror=alert(1)>,4254,200,0.002608299255371,1,1,4254,200,0.0014739036560058,1,1,0,0,-0.0011343955993652,0,0,1
http://127.0.0.1/dvwa/vulnerabilities/javascript/,http://127.0.0.1/dvwa/vulnerabilities/javascript/,POST,lfi,../../../../etc/passwd,4254,200,0.002608299255371,1,1,4254,200,0.0015797615051269,1,1,0,0,-0.0010285377502441,0,0,0
http://127.0.0.1/dvwa/security.php,http://127.0.0.1/dvwa/security.php,POST,sqli,test' OR '1'='1,4578,200,0.0019319057464599,1,1,4590,200,0.0019843578338623,1,1,12,0,5.245208740234375e-05,1,0,1
http://127.0.0.1/dvwa/security.php,http://127.0.0.1/dvwa/security.php,POST,sqli,' OR 1=1 -- ,4578,200,0.0019319057464599,1,1,4590,200,0.0021123886108398,1,1,12,0,0.0001804828643798,1,0,1
http://127.0.0.1/dvwa/security.php,http://127.0.0.1/dvwa/security.php,POST,sqli,""" OR """"=""""",4578,200,0.0019319057464599,1,1,4590,200,0.0016925334930419,1,1,12,0,-0.0002393722534179,1,0,1
http://127.0.0.1/dvwa/security.php,http://127.0.0.1/dvwa/security.php,POST,xss,<script>alert(1)</script>,4578,200,0.0019319057464599,1,1,4590,200,0.0017182826995849,1,1,12,0,-0.000213623046875,1,0,1
http://127.0.0.1/dvwa/security.php,http://127.0.0.1/dvwa/security.php,POST,xss,<img src=1 onerror=alert(1)>,4578,200,0.0019319057464599,1,1,4590,200,0.0023629665374755,1,1,12,0,0.0004310607910156,1,0,1
http://127.0.0.1/dvwa/security.php,http://127.0.0.1/dvwa/security.php,POST,lfi,../../../../etc/passwd,4578,200,0.0019319057464599,1,1,4590,200,0.0018200874328613,1,1,12,0,-0.0001118183135986,1,0,1
http://127.0.0.1/dvwa/logout.php,http://127.0.0.1/dvwa/login.php,POST,sqli,test' OR '1'='1,1434,200,0.0030691623687744,0,0,1434,200,0.0030698776245117,0,0,0,0,7.152557373046875e-07,1,0,1
http://127.0.0.1/dvwa/logout.php,http://127.0.0.1/dvwa/login.php,POST,sqli,' OR 1=1 -- ,1434,200,0.0030691623687744,0,0,1434,200,0.0036919116973876,0,0,0,0,0.0006227493286132,1,0,1
http://127.0.0.1/dvwa/logout.php,http://127.0.0.1/dvwa/login.php,POST,sqli,""" OR """"=""""",1434,200,0.0030691623687744,0,0,1434,200,0.0028183460235595,0,0,0,0,-0.0002508163452148,1,0,1
http://127.0.0.1/dvwa/logout.php,http://127.0.0.1/dvwa/login.php,POST,xss,<script>alert(1)</script>,1434,200,0.0030691623687744,0,0,1434,200,0.002779483795166,0,0,0,0,-0.0002896785736083,1,0,1
http://127.0.0.1/dvwa/logout.php,http://127.0.0.1/dvwa/login.php,POST,xss,<img src=1 onerror=alert(1)>,1434,200,0.0030691623687744,0,0,1434,200,0.004871129989624,0,0,0,0,0.0018019676208496,1,0,1
http://127.0.0.1/dvwa/logout.php,http://127.0.0.1/dvwa/login.php,POST,lfi,../../../../etc/passwd,1434,200,0.0030691623687744,0,0,1434,200,0.0026736259460449,0,0,0,0,-0.0003955364227294,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,test' OR '1'='1,5745,200,0.0202894210815429,1,1,5745,200,0.0152680873870849,1,1,0,0,-0.005021333694458,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,' OR 1=1 -- ,5745,200,0.0202894210815429,1,1,5745,200,0.0122668743133544,1,1,0,0,-0.0080225467681884,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,""" OR """"=""""",5745,200,0.0202894210815429,1,1,5745,200,0.0138826370239257,1,1,0,0,-0.0064067840576171,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,xss,<script>alert(1)</script>,5745,200,0.0202894210815429,1,1,5745,200,0.0129561424255371,1,1,0,0,-0.0073332786560058,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,xss,<img src=1 onerror=alert(1)>,5745,200,0.0202894210815429,1,1,5745,200,0.0147664546966552,1,1,0,0,-0.0055229663848876,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,lfi,../../../../etc/passwd,5745,200,0.0202894210815429,1,1,5745,200,0.0137829780578613,1,1,0,0,-0.0065064430236816,1,0,1
http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,test' OR '1'='1,4314,200,0.0059795379638671,1,1,4314,200,0.0024716854095458,1,1,0,0,-0.0035078525543212,1,0,1
http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,' OR 1=1 -- ,4314,200,0.0059795379638671,1,1,4314,200,0.0019054412841796,1,1,0,0,-0.0040740966796875,1,0,1
