probe_reflected,len_diff,has_text_diff,status_changed,resp_time_diff,resp_time_base,resp_time_probe,resp_length_base,resp_length_probe,has_sql_error_probe,has_sql_error_base,has_script_tag_probe,has_script_tag_base,page_url,request_url,form_method,payload_type,payload,security_level,label
0,542,1,0,-0.5194685459136963,0.5368783473968506,0.017409801483154297,5196,5738,1,1,1,1,http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,test' OR '1'='1,low,
0,542,1,0,-0.5241577625274658,0.5368783473968506,0.012720584869384766,5196,5738,1,1,1,1,http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,' OR 1=1 -- ,low,
0,542,1,0,-0.5219357013702393,0.5368783473968506,0.014942646026611328,5196,5738,1,1,1,1,http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,""" OR """"=""""",low,
0,542,1,0,-0.5239667892456055,0.5368783473968506,0.012911558151245117,5196,5738,1,1,1,1,http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,xss,<script>alert(1)</script>,low,
0,542,1,0,-0.5238912105560303,0.5368783473968506,0.012987136840820312,5196,5738,1,1,1,1,http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,xss,<img src=1 onerror=alert(1)>,low,
0,542,1,0,-0.5233991146087646,0.5368783473968506,0.013479232788085938,5196,5738,1,1,1,1,http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,lfi,../../../../etc/passwd,low,
0,6,0,0,-0.545581579208374,0.5482063293457031,0.0026247501373291016,4253,4259,1,1,1,1,http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,test' OR '1'='1,low,
0,6,0,0,-0.5460813045501709,0.5482063293457031,0.0021250247955322266,4253,4259,1,1,1,1,http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,' OR 1=1 -- ,low,
0,6,0,0,-0.5452346801757812,0.5482063293457031,0.002971649169921875,4253,4259,1,1,1,1,http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,""" OR """"=""""",low,
0,6,0,0,-0.5463340282440186,0.5482063293457031,0.0018723011016845703,4253,4259,1,1,1,1,http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,xss,<script>alert(1)</script>,low,
0,6,0,0,-0.5464558601379395,0.5482063293457031,0.0017504692077636719,4253,4259,1,1,1,1,http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,xss,<img src=1 onerror=alert(1)>,low,
0,6,0,0,-0.5452530384063721,0.5482063293457031,0.0029532909393310547,4253,4259,1,1,1,1,http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,lfi,../../../../etc/passwd,low,
