page_url,request_url,form_method,payload_type,payload,resp_length_base,status_code_base,resp_time_base,has_sql_error_base,has_script_tag_base,resp_length_probe,status_code_probe,resp_time_probe,has_sql_error_probe,has_script_tag_probe,len_diff,status_changed,resp_time_diff,has_text_diff,probe_reflected,label
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,test' OR '1'='1,5745,200,0.02028942108154297,1,1,5745,200,0.015268087387084961,1,1,0,0,-0.005021333694458008,1,0,
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,' OR 1=1 -- ,5745,200,0.02028942108154297,1,1,5745,200,0.012266874313354492,1,1,0,0,-0.008022546768188477,1,0,
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,""" OR """"=""""",5745,200,0.02028942108154297,1,1,5745,200,0.013882637023925781,1,1,0,0,-0.0064067840576171875,1,0,
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,xss,<script>alert(1)</script>,5745,200,0.02028942108154297,1,1,5745,200,0.01295614242553711,1,1,0,0,-0.007333278656005859,1,0,
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,xss,<img src=1 onerror=alert(1)>,5745,200,0.02028942108154297,1,1,5745,200,0.014766454696655273,1,1,0,0,-0.005522966384887695,1,0,
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,lfi,../../../../etc/passwd,5745,200,0.02028942108154297,1,1,5745,200,0.013782978057861328,1,1,0,0,-0.006506443023681641,1,0,
http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,test' OR '1'='1,4314,200,0.0059795379638671875,1,1,4314,200,0.0024716854095458984,1,1,0,0,-0.003507852554321289,1,0,
http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,' OR 1=1 -- ,4314,200,0.0059795379638671875,1,1,4314,200,0.0019054412841796875,1,1,0,0,-0.0040740966796875,1,0,
http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,""" OR """"=""""",4314,200,0.0059795379638671875,1,1,4314,200,0.004849672317504883,1,1,0,0,-0.0011298656463623047,1,0,
http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,xss,<script>alert(1)</script>,4314,200,0.0059795379638671875,1,1,4314,200,0.0023550987243652344,1,1,0,0,-0.003624439239501953,1,0,
